49,159
51,182
57,204
67,229
84,247
102,262
119,266
138,261
158,244
175,223
183,203
188,180
190,155
143,95
111,90
81,96
87,132
73,130
60,140
73,138
87,140
102,141
133,140
149,130
165,129
178,139
164,136
150,138
149,148
85,149
98,159
91,156
85,154
79,156
74,159
80,163
85,164
92,163
85,158
147,157
136,159
143,155
149,153
155,154
161,158
155,161
149,163
143,162
128,180
118,180
108,180
107,198
117,193
128,198
137,192
132,200
117,204
103,201
98,193
96,222
104,216
112,214
117,215
123,214
131,216
140,222
128,222
118,222
108,222
108,225
118,228
128,225
136,231
128,236
118,238
109,236
101,231
