58,170
59,194
62,215
68,237
82,263
106,280
127,283
148,280
171,263
186,237
191,216
194,193
194,167
154,108
124,103
94,110
98,148
82,148
69,159
83,157
98,157
113,157
138,156
153,146
169,145
183,156
169,154
154,155
154,159
95,161
107,171
101,166
94,164
89,166
83,170
89,173
95,174
101,173
94,169
153,167
143,170
149,165
155,162
160,164
166,168
161,171
155,173
149,172
137,189
126,189
116,189
115,210
127,203
138,209
149,204
144,211
127,216
109,212
104,205
98,236
110,229
121,227
127,228
133,227
144,229
156,235
140,234
127,235
114,235
114,237
127,238
139,237
148,242
138,246
127,247
116,246
106,243
